x,perturbed_x,y,wikidata_property,perturbed_question,perturbed_yes_no_question,original_question,original_yes_no_question
Irene Melville Drummond,Anne V. Coates,war,cause of death,When did Anne V. Coates die of war?,Did Anne V. Coates die of war?,When did Irene Melville Drummond die of war?,Did Irene Melville Drummond die of war?
Yi U,Hirohito,atomic bombings of Hiroshima and Nagasaki,cause of death,When did Hirohito die of atomic bombings of Hiroshima and Nagasaki?,Did Hirohito die of atomic bombings of Hiroshima and Nagasaki?,When did Yi U die of atomic bombings of Hiroshima and Nagasaki?,Did Yi U die of atomic bombings of Hiroshima and Nagasaki?
Dan O'Bannon,George Lucas,Crohn's disease,cause of death,When did George Lucas die of Crohn's disease?,Did George Lucas die of Crohn's disease?,When did Dan O'Bannon die of Crohn's disease?,Did Dan O'Bannon die of Crohn's disease?
William T. Washer,J. J. Daniels,ulcerative colitis,cause of death,When did J. J. Daniels die of ulcerative colitis?,Did J. J. Daniels die of ulcerative colitis?,When did William T. Washer die of ulcerative colitis?,Did William T. Washer die of ulcerative colitis?
Raffaella La Crociera,Julius Caesar,systemic lupus erythematosus,cause of death,When did Julius Caesar die of systemic lupus erythematosus?,Did Julius Caesar die of systemic lupus erythematosus?,When did Raffaella La Crociera die of systemic lupus erythematosus?,Did Raffaella La Crociera die of systemic lupus erythematosus?
Joseph Blumenstein,Henry Morgenthau,The Holocaust,cause of death,When did Henry Morgenthau die of The Holocaust?,Did Henry Morgenthau die of The Holocaust?,When did Joseph Blumenstein die of The Holocaust?,Did Joseph Blumenstein die of The Holocaust?
Mary Ann Woodbury,George Washington,influenza,cause of death,When did George Washington die of influenza?,Did George Washington die of influenza?,When did Mary Ann Woodbury die of influenza?,Did Mary Ann Woodbury die of influenza?
Francesc Martnez-Soria Ramos,Jesus,anemia,cause of death,When did Jesus die of anemia?,Did Jesus die of anemia?,When did Francesc Martnez-Soria Ramos die of anemia?,Did Francesc Martnez-Soria Ramos die of anemia?
Miyu Matsuki,Kotono Mitsuishi,EpsteinBarr virus,cause of death,When did Kotono Mitsuishi die of EpsteinBarr virus?,Did Kotono Mitsuishi die of EpsteinBarr virus?,When did Miyu Matsuki die of EpsteinBarr virus?,Did Miyu Matsuki die of EpsteinBarr virus?
Memet Abselyamov,Yevgeny Chernyaev,earthquake,cause of death,When did Yevgeny Chernyaev die of earthquake?,Did Yevgeny Chernyaev die of earthquake?,When did Memet Abselyamov die of earthquake?,Did Memet Abselyamov die of earthquake?
Tamar Ariel,Jack Bauer,natural disaster,cause of death,When did Jack Bauer die of natural disaster?,Did Jack Bauer die of natural disaster?,When did Tamar Ariel die of natural disaster?,Did Tamar Ariel die of natural disaster?
